transcript_id,gene_id,gene_symbol,pathway_id,annotation_version
Cre01.g009325.t1.1,Cre01.g009325,,,v5.5
Cre01.g009350.t1.2,Cre01.g009350,,Creinhardtii POLYAMINSYN3-PWY,v5.5
Cre01.g009350.t1.2,Cre01.g009350,,Creinhardtii PWY-43,v5.5
Cre01.g009400.t1.2,Cre01.g009400,,,v5.5
Cre01.g009450.t1.1,Cre01.g009450,DNJ22,,v5.5
Cre01.g009500.t1.2,Cre01.g009500,,,v5.5
Cre01.g009550.t1.1,Cre01.g009550,,,v5.5
Cre01.g009575.t1.1,Cre01.g009575,,,v5.5
Cre01.g009601.t1.1,Cre01.g009601,,,v5.5
Cre01.g009601.t2.1,Cre01.g009601,,,v5.5
Cre01.g009650.t1.2,Cre01.g009650,BUG25,,v5.5
Cre01.g009676.t1.1,Cre01.g009676,,,v5.5
Cre01.g009700.t1.1,Cre01.g009700,,,v5.5
Cre01.g009731.t1.2,Cre01.g009731,,,v5.5
Cre01.g009765.t1.1,Cre01.g009765,,,v5.5
Cre01.g009800.t1.2,Cre01.g009800,FAP289,,v5.5
Cre01.g009850.t1.2,Cre01.g009850,,,v5.5
Cre01.g009900.t1.1,Cre01.g009900,CDJ3,,v5.5
Cre01.g009950.t1.2,Cre01.g009950,,,v5.5
Cre01.g010000.t1.2,Cre01.g010000,,,v5.5
Cre01.g010050.t1.1,Cre01.g010050,,,v5.5
Cre01.g010100.t1.2,Cre01.g010100,,,v5.5
Cre01.g010150.t1.2,Cre01.g010150,,,v5.5
Cre01.g010201.t1.1,Cre01.g010201,,,v5.5
Cre01.g010250.t1.1,Cre01.g010250,,,v5.5
Cre01.g010300.t1.2,Cre01.g010300,,,v5.5
Cre01.g010350.t1.2,Cre01.g010350,LIPB,,v5.5
Cre01.g010400.t1.2,Cre01.g010400,,,v5.5
Cre01.g010450.t1.2,Cre01.g010450,,,v5.5
Cre01.g010500.t1.2,Cre01.g010500,,,v5.5
Cre01.g010550.t1.1,Cre01.g010550,,,v5.5
Cre01.g010550.t2.1,Cre01.g010550,,,v5.5
Cre01.g010650.t1.2,Cre01.g010650,,,v5.5
Cre01.g010700.t1.2,Cre01.g010700,,,v5.5
Cre01.g010750.t1.2,Cre01.g010750,,,v5.5
Cre01.g010800.t1.1,Cre01.g010800,,,v5.5
Cre01.g010816.t1.1,Cre01.g010816,,,v5.5
Cre01.g010832.t1.1,Cre01.g010832,,,v5.5
Cre01.g010848.t1.1,Cre01.g010848,,,v5.5
Cre01.g010864.t1.1,Cre01.g010864,,,v5.5
Cre01.g010880.t1.1,Cre01.g010880,,,v5.5
Cre01.g010900.t1.2,Cre01.g010900,GAP3,Creinhardtii CALVIN-PWY,v5.5
Cre01.g010950.t1.1,Cre01.g010950,,,v5.5
Cre01.g011000.t1.2,Cre01.g011000,RPL6,,v5.5
Cre01.g011100.t1.2,Cre01.g011100,,,v5.5
Cre01.g011100.t2.1,Cre01.g011100,,,v5.5
Cre01.g011150.t1.1,Cre01.g011150,,,v5.5
Cre01.g011200.t1.2,Cre01.g011200,,,v5.5
Cre01.g011250.t1.1,Cre01.g011250,,,v5.5
Cre01.g011300.t1.1,Cre01.g011300,SCLP50,,v5.5
Cre01.g011350.t1.2,Cre01.g011350,,,v5.5
Cre01.g011376.t1.1,Cre01.g011376,,,v5.5
Cre01.g011400.t1.1,Cre01.g011400,,,v5.5
Cre01.g011400.t2.1,Cre01.g011400,,,v5.5
Cre01.g011450.t1.1,Cre01.g011450,,,v5.5
Cre01.g011500.t1.2,Cre01.g011500,,,v5.5
Cre01.g011550.t1.1,Cre01.g011550,,,v5.5
Cre01.g011600.t1.2,Cre01.g011600,,,v5.5
Cre01.g011630.t1.1,Cre01.g011630,,,v5.5
Cre01.g011630.t2.1,Cre01.g011630,,,v5.5
Cre01.g011660.t2.1,Cre01.g011660,,,v5.5
Cre01.g011660.t1.1,Cre01.g011660,,,v5.5
Cre01.g011750.t1.1,Cre01.g011750,,,v5.5
Cre01.g011800.t1.1,Cre01.g011800,,,v5.5
Cre01.g011850.t2.1,Cre01.g011850,,,v5.5
Cre01.g011850.t1.1,Cre01.g011850,,,v5.5
Cre01.g011901.t1.1,Cre01.g011901,,,v5.5
Cre01.g011950.t1.1,Cre01.g011950,,,v5.5
Cre01.g012000.t1.1,Cre01.g012000,,,v5.5
Cre01.g012050.t1.2,Cre01.g012050,NAR1.6,,v5.5
Cre01.g012100.t1.1,Cre01.g012100,,,v5.5
Cre01.g012126.t1.2,Cre01.g012126,,,v5.5
Cre01.g012126.t2.1,Cre01.g012126,,,v5.5
Cre01.g012150.t1.2,Cre01.g012150,MSRA4,,v5.5
Cre01.g012200.t1.1,Cre01.g012200,,,v5.5
Cre01.g012200.t2.1,Cre01.g012200,,,v5.5
Cre01.g012222.t1.1,Cre01.g012222,,,v5.5
Cre01.g012244.t1.2,Cre01.g012244,,,v5.5
Cre01.g012300.t1.1,Cre01.g012300,,,v5.5
Cre01.g012350.t1.2,Cre01.g012350,,,v5.5
Cre01.g012400.t1.2,Cre01.g012400,,,v5.5
Cre01.g012450.t1.1,Cre01.g012450,,,v5.5
Cre01.g012500.t1.2,Cre01.g012500,,,v5.5
Cre01.g012550.t1.1,Cre01.g012550,,,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii SUCSYN-PWY,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii PWY0-1296,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii PWY66-422,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii GLYCOGENSYNTH-PWY,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii PWY-7238,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii PWY-7343,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii PWY-622,v5.5
Cre01.g012650.t1.1,Cre01.g012650,,,v5.5
Cre17.g709550.t1.2,Cre17.g709550,,,v5.5
Cre01.g012700.t1.2,Cre01.g012700,,,v5.5
Cre01.g012750.t1.1,Cre01.g012750,,,v5.5
Cre01.g012800.t1.1,Cre01.g012800,FAP230,,v5.5
Cre01.g012800.t2.1,Cre01.g012800,FAP230,,v5.5
Cre01.g012850.t1.2,Cre01.g012850,,,v5.5
Cre01.g012900.t1.1,Cre01.g012900,,,v5.5
Cre01.g012950.t1.1,Cre01.g012950,,,v5.5
Cre01.g012950.t2.1,Cre01.g012950,,,v5.5
Cre01.g013000.t1.1,Cre01.g013000,,,v5.5
Cre01.g013050.t1.1,Cre01.g013050,,,v5.5
Cre01.g013100.t1.1,Cre01.g013100,,,v5.5
Cre01.g013150.t1.2,Cre01.g013150,CGLD35,,v5.5
Cre01.g013250.t1.1,Cre01.g013250,,,v5.5
Cre01.g013300.t1.1,Cre01.g013300,DEG10,,v5.5
Cre01.g013350.t1.2,Cre01.g013350,,,v5.5
Cre01.g013400.t1.1,Cre01.g013400,,,v5.5
Cre01.g013450.t1.2,Cre01.g013450,,,v5.5
Cre01.g013500.t1.2,Cre01.g013500,,,v5.5
Cre01.g013500.t2.1,Cre01.g013500,,,v5.5
Cre01.g013550.t1.1,Cre01.g013550,,,v5.5
Cre01.g013600.t1.1,Cre01.g013600,,,v5.5
Cre01.g013650.t1.1,Cre01.g013650,,,v5.5
Cre01.g013700.t2.1,Cre01.g013700,,,v5.5
Cre01.g013700.t1.2,Cre01.g013700,,,v5.5
Cre01.g013750.t1.1,Cre01.g013750,,,v5.5
Cre01.g013769.t1.2,Cre01.g013769,,,v5.5
Cre01.g013800.t1.1,Cre01.g013800,,,v5.5
Cre01.g013801.t1.2,Cre01.g013801,,Creinhardtii PWY-1422,v5.5
Cre01.g013801.t1.2,Cre01.g013801,,Creinhardtii PWY-1422,v5.5
Cre01.g013801.t1.2,Cre01.g013801,,Creinhardtii PWY-7436,v5.5
Cre01.g013801.t1.2,Cre01.g013801,,Creinhardtii PWY-7436,v5.5
Cre01.g013850.t1.1,Cre01.g013850,,,v5.5
Cre01.g013900.t1.1,Cre01.g013900,,,v5.5
Cre01.g013900.t2.1,Cre01.g013900,,,v5.5
Cre01.g014000.t1.2,Cre01.g014000,,,v5.5
Cre01.g014050.t1.2,Cre01.g014050,,,v5.5
Cre01.g014100.t1.2,Cre01.g014100,,,v5.5
Cre01.g014150.t1.2,Cre01.g014150,,,v5.5
Cre01.g014200.t1.2,Cre01.g014200,,,v5.5
Cre01.g014250.t1.1,Cre01.g014250,OPR2,,v5.5
Cre01.g014300.t1.1,Cre01.g014300,,,v5.5
Cre01.g014300.t2.1,Cre01.g014300,,,v5.5
Cre01.g014350.t1.2,Cre01.g014350,PRX5,,v5.5
Cre01.g014400.t1.1,Cre01.g014400,,,v5.5
Cre01.g014450.t1.1,Cre01.g014450,,,v5.5
Cre01.g014500.t1.1,Cre01.g014500,,,v5.5
Cre01.g014600.t1.2,Cre01.g014600,,,v5.5
Cre01.g014650.t1.2,Cre01.g014650,,,v5.5
Cre01.g014700.t1.2,Cre01.g014700,,,v5.5
Cre01.g014751.t1.1,Cre01.g014751,,,v5.5
Cre01.g014800.t1.1,Cre01.g014800,MSH7,,v5.5
Cre01.g014850.t1.2,Cre01.g014850,,,v5.5
Cre01.g014900.t1.1,Cre01.g014900,,,v5.5
Cre01.g014950.t1.1,Cre01.g014950,,,v5.5
Cre01.g014950.t2.1,Cre01.g014950,,,v5.5
Cre01.g015000.t1.2,Cre01.g015000,NAGK1,Creinhardtii GLUTORN-PWY,v5.5
Cre01.g015000.t1.2,Cre01.g015000,NAGK1,Creinhardtii ARGSYNBSUB-PWY,v5.5
Cre01.g015000.t1.2,Cre01.g015000,NAGK1,Creinhardtii ARGSYN-PWY,v5.5
Cre01.g015050.t1.1,Cre01.g015050,,,v5.5
Cre01.g015100.t1.1,Cre01.g015100,,,v5.5
Cre01.g015103.t1.2,Cre01.g015103,,,v5.5
Cre01.g015150.t1.2,Cre01.g015150,,,v5.5
Cre17.g709600.t1.1,Cre17.g709600,,,v5.5
Cre01.g015200.t1.1,Cre01.g015200,,,v5.5
Cre01.g015250.t1.1,Cre01.g015250,,,v5.5
Cre01.g015300.t1.1,Cre01.g015300,,,v5.5
Cre01.g015350.t1.1,Cre01.g015350,,Creinhardtii CHLOROPHYLL-SYN,v5.5
Cre01.g015400.t1.2,Cre01.g015400,,,v5.5
Cre01.g015451.t1.1,Cre01.g015451,,,v5.5
Cre01.g015500.t1.2,Cre01.g015500,CGL91,,v5.5
Cre01.g015550.t1.1,Cre01.g015550,,,v5.5
Cre01.g015600.t1.1,Cre01.g015600,,,v5.5
Cre01.g015650.t1.2,Cre01.g015650,,,v5.5
Cre01.g015700.t1.2,Cre01.g015700,,,v5.5
Cre01.g015750.t1.2,Cre01.g015750,,,v5.5
Cre01.g015850.t1.1,Cre01.g015850,FAP68,,v5.5
Cre01.g015950.t1.2,Cre01.g015950,CPL11,,v5.5
Cre01.g016050.t1.2,Cre01.g016050,,,v5.5
Cre01.g016100.t1.1,Cre01.g016100,,,v5.5
Cre01.g016150.t1.2,Cre01.g016150,,,v5.5
Cre01.g016200.t1.1,Cre01.g016200,,,v5.5
Cre01.g016250.t1.1,Cre01.g016250,,,v5.5
Cre01.g016300.t1.1,Cre01.g016300,,,v5.5
Cre01.g016350.t1.1,Cre01.g016350,,,v5.5
Cre01.g016400.t1.1,Cre01.g016400,,,v5.5
