transcript_identifier,gene_id,gene_symbol,pathway_id,annotation_version
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-1042,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-5464,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-5464,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-5464,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-5464,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-5723,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-5723,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-5723,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-5723,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-1042,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-1042,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-1042,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-1042,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-5464,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-5464,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-5464,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-5464,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-5723,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-5723,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-5723,v5.5
Cre02.g147900.t3.1,Cre02.g147900,PYK5,Creinhardtii PWY-5723,v5.5
Cre03.g143887.t1.1,Cre03.g143887,,Creinhardtii TRNA-CHARGING-PWY,v5.5
Cre03.g144707.t1.1,Cre03.g144707,,Creinhardtii GLYCOGENSYNTH-PWY,v5.5
Cre03.g144707.t1.1,Cre03.g144707,,Creinhardtii PWY-5659,v5.5
Cre03.g144707.t1.1,Cre03.g144707,,Creinhardtii PWY-622,v5.5
Cre03.g144707.t1.1,Cre03.g144707,,Creinhardtii PWY66-422,v5.5
Cre03.g144707.t1.1,Cre03.g144707,,Creinhardtii PWY-7238,v5.5
Cre03.g144707.t1.1,Cre03.g144707,,Creinhardtii PWY-7343,v5.5
Cre03.g144707.t1.1,Cre03.g144707,,Creinhardtii PWY-882,v5.5
Cre03.g144707.t1.1,Cre03.g144707,,Creinhardtii SUCSYN-PWY,v5.5
Cre03.g144807.t1.1,Cre03.g144807,,Creinhardtii GLYOXYLATE-BYPASS,v5.5
Cre03.g144807.t1.1,Cre03.g144807,,Creinhardtii PWY-561,v5.5
Cre03.g144847.t1.1,Cre03.g144847,,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre03.g144847.t1.1,Cre03.g144847,,Creinhardtii PWY-1042,v5.5
Cre03.g144847.t1.1,Cre03.g144847,,Creinhardtii PWY-5464,v5.5
Cre03.g144847.t1.1,Cre03.g144847,,Creinhardtii PWY-5723,v5.5
