gene_id	gene_name	fold_difference	p_value	candidate_gene
Cre02.g116750.t1	ATP1A	0.86	7.53e-06	FALSE
Cre17.g698000.t1	ATP2	0.87	0.000193	FALSE
Cre15.g635850.t1	ATP3	0.92	0.0794	FALSE
Cre18.g743700.t1	ATP4	0.88	0.158	FALSE
Cre16.g680000.t1	ATP5	0.83	0.000602	FALSE
Cre01.g018800.t1	ATP6	1.14	0.323	FALSE
Cre18.g747950.t1	UMM13	2.62	0.178	FALSE
Cre14.g621750.t1	UAP2	0.86	0.604	FALSE
Cre14.g626900.t1	Cre14.g626900	0.62	0.0971	FALSE
Cre06.g258800.t1	CWP2	0.64	0.0791	FALSE
Cre17.g715250.t1	BCC1	1.04	0.425	FALSE
Cre08.g359350.t1	Cre08.g359350	0.87	0.00227	FALSE
Cre14.g621650.t1	mct1	1.76	8.88e-07	FALSE
Cre22.g765250.t1	KAS1	1.03	0.86	FALSE
Cre06.g294950.t1	ENR1	1.01	0.869	FALSE
Cre01.g055500.t1	ACS4	0.71	0.536	FALSE
Cre03.g182050.t1	LCL4	1.24	0.344	FALSE
Cre12.g507400.t1	LCL5	1.24	0.249	FALSE
Cre13.g566650.t1	LCL6	1.2	2.44e-05	FALSE
Cre01.g063200.t1	ACP1	0.75	1.91e-05	FALSE
Cre13.g577100.t1	ACP2	0.86	0.000531	FALSE
Cre01.g011600.t1	Cre01.g011600	1.41	0.069	FALSE
Cre17.g701700.t1	FAB2	1.12	0.211	FALSE
Cre03.g194200.t1	PDH2	0.86	0.339	FALSE
Cre01.g053000.t1	GPD1	2.61	0.0586	FALSE
Cre01.g053150.t1	GPD3	2.11	0.0983	FALSE
Cre10.g456050.t1	Cre10.g456050	1.35	0.000156	FALSE
Cre01.g035350.t1	Cre01.g035350	1.57	7.92e-09	FALSE
Cre11.g476550.t1	ADH11	2.92	2.41e-06	TRUE
Cre03.g174900.t1	Cre03.g174900	1.41	0.25	FALSE
Cre07.g350000.t1	TGL14	1.17	0.159	FALSE
Cre10.g463600.t1	TGL15	0.88	0.703	FALSE
Cre01.g028250.t1	GEA1	0.86	0.358	FALSE
Cre02.g125100.t1	Cre02.g125100	1.07	0.875	FALSE
Cre16.g675850.t1	Cre16.g675850	0.79	0.34	FALSE
Cre16.g695100.t1	Cre16.g695100	1.14	0.618	FALSE
Cre11.g467350.t1	ACO2	1.93	0.0272	FALSE
Cre16.g695050.t1	HCD1	1.15	0.184	FALSE
Cre16.g656400.t1	SQD1	1.09	0.239	FALSE
Cre01.g059450.t1	CBR1	1.29	0.0806	FALSE
Cre16.g659350.t1	CYB1	1.48	4.8e-06	FALSE
Cre13.g592200.t1	GSN1	0.3	3.74e-09	TRUE
Cre12.g514050.t1	GSF1	0.9	0.000569	FALSE
Cre02.g113200.t1	GLN1	0.66	0.092	FALSE
Cre12.g530650.t1	GLN2	1.44	1.12e-06	FALSE
Cre12.g530600.t1	GLN3	1.78	1.08e-08	FALSE
Cre05.g232150.t1	GDH2	0.62	0.408	FALSE
Cre12.g486900.t1	Cre12.g486900	0.57	0.0217	FALSE
Cre23.g767050.t1	Cre23.g767050	1.15	0.219	FALSE
Cre02.g122250.t1	AST1	0.84	0.000304	FALSE
Cre02.g097900.t1	AST3	1.07	0.693	FALSE
Cre06.g257950.t1	AST4	0.54	0.00481	FALSE
Cre02.g147200.t1	Cre02.g147200	0.91	0.528	FALSE
Cre10.g451950.t1	AAT1	1.11	0.548	FALSE
Cre06.g294650.t1	AGT1	1.12	0.41	FALSE
Cre01.g005150.t1	SGA1	0.89	0.745	FALSE
Cre01.g061800.t1	GSD1	1.51	1.03e-08	FALSE
Cre03.g154550.t1	PCR1	1.36	0.0978	FALSE
Cre11.g474800.t1	OTA1	1.15	0.103	FALSE
Cre09.g416050.t1	AGS1	0.94	0.373	FALSE
Cre02.g105500.t1	AOD1	1.28	0.092	FALSE
Cre12.g489700.t1	OTC1	0.9	0.584	FALSE
Cre01.g060950.t1	NGR1	1.02	0.782	FALSE
Cre01.g015000.t1	AGK1	1.3	3.82e-06	FALSE
Cre16.g694850.t1	NGS1	0.94	0.661	FALSE
Cre13.g596500.t1	ARG9	0.97	0.862	FALSE
Cre01.g021250.t1	ARG7	1.26	0.0451	FALSE
Cre01.g004300.t1	ASN1	0.86	0.000505	FALSE
Cre10.g451900.t1	THS1	1.06	0.49	FALSE
Cre03.g180750.t1	METE	0.29	0	TRUE
Cre16.g669550.t1	CBL1	0.9	0.533	FALSE
Cre60.g792150.t1	CGS1	0.87	0.115	FALSE
Cre06.g250200.t1	SAS1	0.76	4.99e-05	FALSE
Cre06.g250912.t1	Cre06.g250912	1.16	0.534	FALSE
Cre02.g107300.t1	DPS1	1.07	0.699	FALSE
Cre14.g627850.t1	Cre14.g627850	1.16	0.38	FALSE
Cre17.g734200.t1	DPA1	1.36	0.00434	FALSE
Cre05.g237400.t1	DAE1	0.77	0.134	FALSE
Cre01.g050100.t1	DPD1	1.45	6.19e-08	FALSE
Cre31.g780200.t1	AHD1	1.18	0.000673	FALSE
Cre10.g458500.t1	AHD2	0.84	0.593	FALSE
Cre02.g124800.t1	ASD1	1.42	5.02e-08	FALSE
Cre02.g082200.t1	HSK1:3frag	1.16	0.11	FALSE
Cre02.g082250.t1	HSK1:5frag	1.16	0.105	FALSE
Cre03.g206600.t1	AAD1	1.15	0.288	FALSE
Cre10.g434750.t1	AAI1	1.1	0.211	FALSE
Cre29.g778850.t1	ALS1	1.1	0.0166	FALSE
Cre23.g768000.t1	ALS2	1.18	0.0873	FALSE
Cre05.g245900.t1	BCA2	1.19	0.0299	FALSE
Cre06.g258750.t1	LEU2	1.31	1.28e-06	FALSE
Cre01.g004500.t1	LEU1L	1.06	0.627	FALSE
Cre07.g325400.t1	LEU3	1.42	6.1e-08	FALSE
Cre07.g344400.t1	Cre07.g344400	0.6	1.61e-06	FALSE
Cre07.g344550.t1	Cre07.g344550	1.23	0.0215	FALSE
Cre07.g331550.t1	PST1	1.13	0.0193	FALSE
Cre03.g209100.t1	PSP1	1.16	0.876	FALSE
Cre03.g172850.t1	ASL3	1.15	0.459	FALSE
