gene_id	gene_name	candidate_gene	fold_difference
Cre02.g075400	Cre02.g075400	TRUE	2.67723
Cre02.g144450	FAP1	TRUE	2.67723
Cre02.g106250	LAL2	TRUE	2.673964
Cre01.g053150	GPD3	TRUE	2.673705
Cre07.g342506	Cre07.g342506	TRUE	2.673705
Cre14.g617650	PDE1	TRUE	2.673538
g1260	g1260	TRUE	2.67322
g14381	g14381	TRUE	2.670316
g2892	MMP13	TRUE	2.667502
Cre03.g157450	Cre03.g157450	TRUE	2.661653
Cre01.g007000	Cre01.g007000	TRUE	2.660444
g3893	g3893	TRUE	2.655008
Cre09.g387450	Cre09.g387450	TRUE	2.654355
Cre03.g177600	Cre03.g177600	TRUE	2.654243
Cre10.g464325	Cre10.g464325	TRUE	2.654243
Cre11.g483000	Cre11.g483000	TRUE	2.654243
g15139	g15139	TRUE	2.654243
g16423	g16423	TRUE	2.654243
Cre01.g038550	SQD2	TRUE	2.647868
Cre12.g485418	Cre12.g485418	TRUE	2.645802
Cre12.g490450	Cre12.g490450	TRUE	2.64134
Cre13.g563950	Cre13.g563950	TRUE	2.64134
Cre13.g578350	Cre13.g578350	TRUE	2.640131
Cre07.g351900	Cre07.g351900	TRUE	2.638971
Cre16.g682550	Cre16.g682550	TRUE	2.638082
g10392	g10392	TRUE	2.634525
Cre03.g171900	FAP56	TRUE	2.633482
Cre17.g725600	Cre17.g725600	TRUE	2.630068
g16762	g16762	TRUE	2.630068
Cre01.g004900	Cre01.g004900	TRUE	2.628898
Cre01.g027764	Cre01.g027764	TRUE	2.624946
Cre07.g358050	Cre07.g358050	TRUE	2.624174
g5490	g5490	TRUE	2.620264
Cre12.g511350	Cre12.g511350	TRUE	2.62015
g11575	CLPB1	TRUE	2.619815
Cre17.g740750	Cre17.g740750	TRUE	2.616671
g3727	g3727	TRUE	2.615448
g9088	g9088	TRUE	2.614461
Cre17.g720600	CAV1	TRUE	2.612568
Cre07.g355100	ZIP1	TRUE	2.611988
Cre12.g556300	FBB5	TRUE	2.611012
g9590	g9590	TRUE	2.608881
Cre01.g052150	ANK2	TRUE	2.60497
Cre14.g617950	Cre14.g617950	TRUE	2.602272
g9803	g9803	TRUE	2.601456
Cre06.g298500	Cre06.g298500	TRUE	2.601103
g6393	GOX18	TRUE	2.599571
Cre07.g333000	CEP4,Cre07.g333000	TRUE	2.598668
Cre05.g240600	Cre05.g240600	TRUE	2.594998
g15935	g15935	TRUE	2.592058
Cre02.g090050	FAP170	TRUE	2.591192
Cre17.g713674	Cre17.g713674	TRUE	2.590952
Cre13.g607150	Cre13.g607150	TRUE	2.589456
Cre12.g534500	Cre12.g534500	TRUE	2.587452
Cre03.g184250	Cre03.g184250	TRUE	2.587072
Cre06.g257100	Cre06.g257100	TRUE	2.58544
g1534	g1534	TRUE	2.584092
Cre12.g545850	Cre12.g545850	TRUE	2.576333
Cre06.g287700	Cre06.g287700	TRUE	2.573789
Cre08.g363600	Cre08.g363600	TRUE	2.567002
Cre12.g531800	FAP7	TRUE	2.566694
g15715	g15715	TRUE	2.562647
Cre08.g372050	Cre08.g372050	TRUE	2.562034
Cre16.g688450	FBB18	TRUE	2.559379
g6310	g6310	TRUE	2.559379
Cre02.g143250	IDH2	TRUE	2.5588
g9629	g9629	TRUE	2.558049
Cre14.g609850	Cre14.g609850	TRUE	2.556339
g9589	g9589	TRUE	2.556154
Cre08.g378150	GLD2	TRUE	2.553037
Cre09.g394200	FAP102	TRUE	2.552541
Cre17.g710700	Cre17.g710700	TRUE	2.552047
g18168	g18168	TRUE	2.550916
Cre03.g170550	Cre03.g170550	TRUE	2.550852
Cre03.g179881	Cre03.g179881	TRUE	2.550852
g6243	g6243	TRUE	2.550852
Cre05.g239450	Cre05.g239450	TRUE	2.545891
Cre05.g240900	Cre05.g240900	TRUE	2.543462
g8395	CMP1	TRUE	2.541674
Cre10.g456050	Cre10.g456050	TRUE	2.539667
Cre12.g518800	Cre12.g518800	TRUE	2.535975
Cre06.g309600	Cre06.g309600	TRUE	2.533207
