transcript_id,num_detected,num_sampled,proportion,source,annotation_version,gene_id,gene_symbol,pathway_id,transcript_id_v5.3.1
Cre01.g004400.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g004400,,,Cre01.g004400.t1.2
Cre01.g004450.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g004450,CPLD42,,Cre01.g004450.t1.2
Cre01.g004500.t1.2,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g004500,,"['Creinhardtii BRANCHED-CHAIN-AA-SYN-PWY', 'Creinhardtii LEUSYN-PWY']",Cre01.g004500.t1.2
Cre01.g004550.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g004550,FAP190,,Cre01.g004550.t1.2
Cre01.g004600.t1.1,1,2,0.125,"['Bajhaiya_2016', 'Gargouri_2015']",v5.5,Cre01.g004600,,,Cre01.g004600.t1.3
Cre01.g004651.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g004651,,,Cre01.g004650.t1.2
Cre01.g004700.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g004700,,,Cre01.g004700.t1.2
Cre01.g004750.t2.1,2,2,0.25,"['Bajhaiya_2016', 'Blaby_2013']",v5.5,Cre01.g004750,,,Cre01.g004750.t1.3
Cre01.g004800.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g004800,,,Cre01.g004800.t1.2
Cre01.g004850.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g004850,,,Cre01.g004850.t1.3
Cre01.g004900.t1.2,2,3,0.25,"['Hemme_2014', 'Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g004900,,,Cre01.g004900.t1.2
Cre01.g004926.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g004926,,,g119.t1
Cre01.g004950.t1.1,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g004950,,,Cre01.g004950.t1.3
Cre01.g005001.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005001,,,Cre01.g005000.t1.3
Cre01.g005050.t1.1,0,2,0.0,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g005050,,,Cre01.g005050.t1.1
Cre01.g005100.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005100,,,Cre01.g005100.t1.3
Cre01.g005126.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005126,,,g124.t1
Cre01.g005150.t1.1,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g005150,,['Creinhardtii GLYSYN-ALA-PWY'],Cre01.g005150.t1.1
Cre01.g005200.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g005200,,,Cre01.g005200.t1.3
Cre01.g005250.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005250,,,Cre01.g005250.t1.2
Cre01.g005300.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005300,,,g128.t1
Cre01.g005350.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005350,,,g129.t1
Cre01.g005400.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005400,,,Cre01.g005400.t1.3
Cre01.g005450.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g005450,RSP10,,Cre01.g005450.t1.2
Cre01.g005500.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005500,,,Cre01.g005500.t1.2
Cre01.g005534.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005534,,,Cre01.g005534.t1.2
Cre01.g005543.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005543,,,g134.t1
Cre01.g005550.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g005550,,,Cre01.g005550.t1.2
Cre01.g005600.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005600,,,Cre01.g005650.t1.2
Cre01.g005651.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005651,,,g137.t1
Cre01.g005701.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005701,,,g138.t1
Cre01.g005750.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005750,,,Cre01.g005750.t1.3
Cre01.g005813.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g005813,,,g140.t1
Cre01.g005850.t1.2,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g005850,FAP23,,Cre01.g005850.t1.2
Cre01.g005900.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g005900,,,g142.t1
Cre01.g005950.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g005950,,,Cre01.g005950.t1.2
Cre01.g006000.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006000,,,Cre01.g006000.t1.3
Cre01.g006050.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006050,,,Cre01.g006050.t1.3
Cre01.g006100.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006100,,,Cre01.g006100.t1.2
Cre01.g006150.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g006150,,,g148.t1
Cre01.g006202.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006202,,,g149.t1
Cre01.g006250.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006250,,,g153.t1
Cre01.g006301.t1.1,0,2,0.0,"['Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g006301,,,Cre01.g006300.t1.3
Cre01.g006352.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006352,,,g155.t1
Cre01.g006402.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006402,,,g156.t1
Cre01.g006450.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006450,,,Cre01.g006450.t1.2
Cre01.g006500.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006500,,,Cre01.g006500.t1.3
Cre01.g006550.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006550,,,Cre01.g006550.t1.3
Cre01.g006576.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006576,,,g161.t1
Cre01.g006600.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006600,,,Cre01.g006600.t1.2
Cre01.g006614.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006614,,,g164.t1
Cre01.g006628.t2.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006628,,,g167.t1
Cre01.g006642.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006642,,,g168.t1
Cre01.g006656.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006656,,,g169.t1
Cre01.g006670.t1.1,1,2,0.125,"['Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g006670,,,g170.t1
Cre01.g006700.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006700,,,Cre01.g006700.t1.2
Cre01.g006733.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006733,,,g174.t1
Cre01.g006766.t1.1,1,2,0.125,"['Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g006766,,,Cre01.g006750.t1.2
Cre01.g006800.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g006800,,,Cre01.g006800.t1.3
